0, Rapid Oxygen Supply available at door for emergencies by bike rental,1
1,Need Oxygen Cylinder in Greater Noida. Any verified leads please DM. #OxygenCylinders,0
2,"Need oxygen  in ghaziabad , comment  verified leads!   #ncroxygen #Ghaziabad #OxygenCylinders",0
3,Useful information #OxygenCylinders available Contact: +91 95603 75313 Sharing as received. Please verify this information on your own as the leads keep changing. #CoviBuddy,1
4,Oxygen cylinder leads in lucknow? #OxygenCylinders #COVIDSecondWaveInIndia #COVID19India #helpindia #lucknow #SOSIYC,0
5,If anyone needs #Oxygen and #OxygenCylinders in #Patna Please contact them. #Verified,1
6,Any filled oxygen cylinders lead In Delhi ? Oxygen level is 40 Please share #oxygen #Delhi #OxygenCrisis #OxygenCylinders #filled #OxygenEmergency #OxygenCans,0
7,"Guys oxygen available at 1, nangla air station 2, argon air - sec 25 , gali no 6 3, bhagirath- sec 24 ,plot not 104 Pls share it needy people looking for oxygen All In Faridabad Haryana Delhi Verified 1:00 am 2/5/21 #Faridabad #Haryana #Delhi #OxygenCylinders #DelhiFightsBack",1
8,Any leads for #OxygenCylinders in #Dehradun? need one urgently.,0
9,"COVID19 Relief Efforts: Over 1000 #OxygenCylinders regulators & other medical equipment arrive in India from the USA. Third shipment to arrive within next 2 days. ""Grateful to the USA for its support. Cooperation b/w both countries continues"" says",0
10,Any leads for #OxygenCylinders in #Noida ? #SOSDelhi #SOSNoida #Delhi #UttarPradesh #COVIDSecondWaveInIndia,0
11,New #Delhi Oxygen available refill/cylinder/can Contact: 7982921061 Verified at 10:15pm 1/05 ( just verify once by yourself) #COVIDEmergency #Covid19IndiaHelp #CovidSOS #OxygenCylinders #medicines,1
12,#Delhi #OxygenCylinders Oxygen cylinders and cans ( home delivery available) in gurgaon and Delhi 8368468551 Verified at 2:00 am 2nd may #DelhiFightsCorona #DelhiCovid #CovidHelp #delhioxygen #Oxygen #OxygenCans #delhioxygen,1
13, Rapid Oxygen Supply available at door for emergencies by bike rental,1
14,Need Oxygen Cylinder in Greater Noida. Any verified leads please DM. #OxygenCylinders,0
15,"Need oxygen  in ghaziabad , comment  verified leads!   #ncroxygen #Ghaziabad #OxygenCylinders",0
16,Useful information #OxygenCylinders available Contact: +91 95603 75313 Sharing as received. Please verify this information on your own as the leads keep changing. #CoviBuddy,1
17,Oxygen cylinder leads in lucknow? #OxygenCylinders #COVIDSecondWaveInIndia #COVID19India #helpindia #lucknow #SOSIYC,0
18,If anyone needs #Oxygen and #OxygenCylinders in #Patna Please contact them. #Verified,1
19,Any filled oxygen cylinders lead In Delhi ? Oxygen level is 40 Please share #oxygen #Delhi #OxygenCrisis #OxygenCylinders #filled #OxygenEmergency #OxygenCans,0
20,"Guys oxygen available at 1, nangla air station 2, argon air - sec 25 , gali no 6 3, bhagirath- sec 24 ,plot not 104 Pls share it needy people looking for oxygen All In Faridabad Haryana Delhi Verified 1:00 am 2/5/21 #Faridabad #Haryana #Delhi #OxygenCylinders #DelhiFightsBack",1
21,Any leads for #OxygenCylinders in #Dehradun? need one urgently.,0
22,"COVID19 Relief Efforts: Over 1000 #OxygenCylinders regulators & other medical equipment arrive in India from the USA. Third shipment to arrive within next 2 days. ""Grateful to the USA for its support. Cooperation b/w both countries continues"" says",0
23,Any leads for #OxygenCylinders in #Noida ? #SOSDelhi #SOSNoida #Delhi #UttarPradesh #COVIDSecondWaveInIndia,0
24,New #Delhi Oxygen available refill/cylinder/can Contact: 7982921061 Verified at 10:15pm 1/05 ( just verify once by yourself) #COVIDEmergency #Covid19IndiaHelp #CovidSOS #OxygenCylinders #medicines,1
25,#Delhi #OxygenCylinders Oxygen cylinders and cans ( home delivery available) in gurgaon and Delhi 8368468551 Verified at 2:00 am 2nd may #DelhiFightsCorona #DelhiCovid #CovidHelp #delhioxygen #Oxygen #OxygenCans #delhioxygen,1